destination	window_id	bundle	foot_read	capture	taken_at
Activity	125346	/Users/lukerhodes/Dev/mcp-router/.worktrees/M27/app/.derived/Build/Products/Debug/MCPRouter.app	127.0.0.1:8971	sidebar-foot-Activity.png	2026-08-20T21:08:43Z
Servers	125346	/Users/lukerhodes/Dev/mcp-router/.worktrees/M27/app/.derived/Build/Products/Debug/MCPRouter.app	127.0.0.1:8971	sidebar-foot-Servers.png	2026-08-20T21:08:46Z
Skills	125346	/Users/lukerhodes/Dev/mcp-router/.worktrees/M27/app/.derived/Build/Products/Debug/MCPRouter.app	127.0.0.1:8971	sidebar-foot-Skills.png	2026-08-20T21:08:58Z
Discover	125346	/Users/lukerhodes/Dev/mcp-router/.worktrees/M27/app/.derived/Build/Products/Debug/MCPRouter.app	127.0.0.1:8971	sidebar-foot-Discover.png	2026-08-20T21:09:05Z
Inbox	125346	/Users/lukerhodes/Dev/mcp-router/.worktrees/M27/app/.derived/Build/Products/Debug/MCPRouter.app	127.0.0.1:8971	sidebar-foot-Inbox.png	2026-08-20T21:09:10Z
Checks	125346	/Users/lukerhodes/Dev/mcp-router/.worktrees/M27/app/.derived/Build/Products/Debug/MCPRouter.app	127.0.0.1:8971	sidebar-foot-Checks.png	2026-08-20T21:09:12Z
Cleanup	125346	/Users/lukerhodes/Dev/mcp-router/.worktrees/M27/app/.derived/Build/Products/Debug/MCPRouter.app	127.0.0.1:8971	sidebar-foot-Cleanup.png	2026-08-20T21:09:23Z
Settings	125346	/Users/lukerhodes/Dev/mcp-router/.worktrees/M27/app/.derived/Build/Products/Debug/MCPRouter.app	127.0.0.1:8971	sidebar-foot-Settings.png	2026-08-20T21:09:34Z
